Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text,Review_Year,Review_Month,Cleaned_Review_Text,tokenized_review,sent_token_length,Sentiment_Label,Sentiment_Score
40,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2022-01-01,wonderful,10.0,"The hotel is close to many touristic places; the hotel team is amazing, they are really helpfull and specially Shikha, who is always with a smile in her face and ready to help you to know more about India and dishes.",2022,1,hotel close many touristic place hotel team amazing really helpfull specially shikha always smile face ready help know india dish,"The hotel is close to many touristic places ; the hotel team is amazing , they are really helpfull and specially Shikha , who is always with a smile in her face and ready to help you to know more about India and dishes .",45,5 stars,0.8374319076538086
41,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-07-01,We enjoyed the stay.,9.0,Excellent breakfast. Location is good.,2023,7,excellent breakfast location good,Excellent breakfast . Location is good .,7,5 stars,0.6564398407936096
42,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-06-01,Good,7.0, · Parking and room both are not good,2023,6,parking room good,  ·   Parking and room both are not good,8,4 stars,0.5363157391548157
43,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-07-01,"Overall a comfortable stay, which could have been better with good TV and cable",8.0,Breakfast was of a very high quality with a lot to choose from. Thoroughly enjo6,2023,7,breakfast high quality lot choose thoroughly enjo,Breakfast was of a very high quality with a lot to choose from . Thoroughly enjo 6,17,5 stars,0.6730175614356995
44,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-06-01,Superb,9.0,Comfort,2023,6,comfort,Comfort,1,4 stars,0.3583037555217743
45,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-07-01,Superb,9.0,Good,2023,7,good,Good,1,4 stars,0.496963232755661
46,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-07-01,Superb,9.0,Please provide more Intercontinental Breakfast,2023,7,please provide intercontinental breakfast,Please provide more Intercontinental Breakfast,5,5 stars,0.3502371311187744
47,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-07-01,My stay was very comfortable and enjoyable,8.0,We didn’t have breakfast,2023,7,didnt breakfast,We didn ’ t have breakfast,6,1 star,0.48232942819595337
48,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-07-01,Ok,7.0,Ok,2023,7,ok,Ok,1,3 stars,0.49511444568634033
49,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",2023-07-01,Very good,8.0,Nice hotel.,2023,7,nice hotel,Nice hotel .,3,4 stars,0.4517405033111572
50,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-01-01,Good value of money,10.0,The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,2023,1,hotel staff helpful courteous always available help answer room hygienic clean staff professional,The hotel staff is very helpful and courteous - they are always available to help answer . Rooms were hygienic and clean . The staff was very professional .,29,5 stars,0.4922287166118622
51,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Clean hotel,9.0,Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,2023,8,hotel good value money staff friendly competent room spacious enough every day clean room,Hotel has for me a good value for money . Staff was friendly and competent . Room are spacious enough and every days they clean the room . .,29,5 stars,0.5269371271133423
52,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Wonderful hotel near airport,9.0,"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",2023,8,wonderful hotel nice location close airport thank management staff attentive friendly outstanding service room air conditioned well equipped greatly appreciate hospitality excellent service,"Wonderful hotel nice location close to airport . . I thank management and staffs for their attentive , friendly and outstanding service . . All rooms are air conditioned and well equipped . . We greatly appreciate the hospitality and excellent service . .",44,5 stars,0.7818154096603394
53,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Neat and clean property,9.0,"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing..",2023,8,comfort bed cleanliness room made stay truly enjoyable professionalism helpfulness staff remarkable efficiency impressive breakfast highlight truly amazing,"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable . The professionalism and helpfulness of the staff were remarkable , and their efficiency was impressive . The breakfast was a highlight , truly amazing . .",43,5 stars,0.8037468194961548
54,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Hotel was one of the best,9.0,"The staff's exceptional training and friendly demeanor were evident. The hotel's cleanliness was remarkable. The food was excellent, and the quick room service was truly appreciated. The spacious clean room size made my stay comfortable and enjoyable..",2023,8,staff exceptional training friendly demeanor evident hotel cleanliness remarkable food excellent quick room service truly appreciated spacious clean room size made stay comfortable enjoyable,"The staff ' s exceptional training and friendly demeanor were evident . The hotel ' s cleanliness was remarkable . The food was excellent , and the quick room service was truly appreciated . The spacious clean room size made my stay comfortable and enjoyable . .",47,5 stars,0.7182639241218567
55,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Superb,9.0,#NAME?,2023,8,name,# NAME ?,3,5 stars,0.23235034942626953
56,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Good hotel and location If you are looking for a short stay near IGI,7.0,Closeness to the airport,2023,8,closeness airport,Closeness to the airport,4,5 stars,0.3285616934299469
57,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,We enjoyed our stay,9.0,We had a fabulous staying in airport grand hotel .. it was a nice experience the room was very good the hotel provided all the necessary facilities the staff was helping and warm the food was yummy overall it was a pleasure to stay here..,2023,8,fabulous staying airport grand hotel nice experience room good hotel provided necessary facility staff helping warm food yummy overall pleasure stay,We had a fabulous staying in airport grand hotel . . it was a nice experience the room was very good the hotel provided all the necessary facilities the staff was helping and warm the food was yummy overall it was a pleasure to stay here . .,48,5 stars,0.6586378812789917
58,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Staff hospitality was great,9.0,The room and washroom were very clean. the linen was and clean without any spots. breakfast spread was tasty and well cooked.. The staff was extra helpful... hotel was excellent in service... i really liked the place. would love to stay again..,2023,8,room washroom clean linen clean without spot breakfast spread tasty well cooked staff extra helpful hotel excellent service really liked place would love stay,The room and washroom were very clean . the linen was and clean without any spots . breakfast spread was tasty and well cooked . . The staff was extra helpful . . . hotel was excellent in service . . . i really liked the place . would love to stay again . .,55,5 stars,0.6629566550254822
59,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",2023-08-01,Awesome service,9.0,"Very friendly staff, good location, super clean, awesome food, everything was spot on n' upto my expectations. will visit the same hotel soon and recommend to all..",2023,8,friendly staff good location super clean awesome food everything spot n upto expectation visit hotel soon recommend,"Very friendly staff , good location , super clean , awesome food , everything was spot on n ' upto my expectations . will visit the same hotel soon and recommend to all . .",35,5 stars,0.6330461502075195
60,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2022-03-01,10-Oct,10.0,Ankit - assistant manager was awesome. foodit shell at breakfast buffet,2022,3,ankit assistant manager awesome foodit shell breakfast buffet,Ankit - assistant manager was awesome . foodit shell at breakfast buffet,12,5 stars,0.7071569561958313
61,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-07-01,Good,7.0,The music from the bar was very very very loud. I couldn't here the man that was booking me in at the arrival desk... so ridiculous... it's a hotel for usually tired travellers and to be greeted by this horrible noise felt like an assault. They eventually turned it down after many requests. Was by just me ... others waiting also hated the noise.,2023,7,music bar loud couldnt man booking arrival desk ridiculous hotel usually tired traveller greeted horrible noise felt like assault eventually turned many request others waiting also hated noise,The music from the bar was very very very loud . I couldn ' t here the man that was booking me in at the arrival desk . . . so ridiculous . . . it ' s a hotel for usually tired travellers and to be greeted by this horrible noise felt like an assault . They eventually turned it down after many requests . Was by just me . . . others waiting also hated the noise .,80,1 star,0.8373039364814758
62,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-08-01,Superb,9.0,"Clean rooms, polite and hospitable staff",2023,8,clean room polite hospitable staff,"Clean rooms , polite and hospitable staff",7,4 stars,0.4363517761230469
63,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-07-01,Luxurious stay in very convenient location.,9.0,It is a luxurious hotel in very convenient location for air travellers. The hotel room was very comfortable with all essential amenities. The buffet breakfast was sumptuous. Staff are friendly and helpful.,2023,7,luxurious hotel convenient location air traveller hotel room comfortable essential amenity buffet breakfast sumptuous staff friendly helpful,It is a luxurious hotel in very convenient location for air travellers . The hotel room was very comfortable with all essential amenities . The buffet breakfast was sumptuous . Staff are friendly and helpful .,36,5 stars,0.5066606998443604
64,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-08-01,Excellent hôtel,9.0,Nice location,2023,8,nice location,Nice location,2,4 stars,0.5094575881958008
65,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-08-01,Good,7.0,"Location, swimming pool,",2023,8,location swimming pool,"Location , swimming pool ,",5,4 stars,0.31027695536613464
66,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-08-01,It was okay not anything extraordinary. I liked Pride  plaza better than Novotel.,7.0,"The breakfast was very elaborate and excellent!!
The only thing I liked most at the hotel was it’s breakfast menu.",2023,8,breakfast elaborate excellent thing liked hotel breakfast menu,"The breakfast was very elaborate and excellent ! ! 
 The only thing I liked most at the hotel was it ’ s breakfast menu .",25,5 stars,0.5845133066177368
67,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-08-01,Value for money with smile 😊,8.0,"As mentioned in my previous review and the reasons I keep on returning to this property is best value for money compared to any other hotel in aero city,a cluster of hotels including international chain of hotels located 10-15 mins from New Delhi domestic and international terminal. Novotel in my opinion offers everything that other hotels do ,but at best best price as I have had stays in other hotels of aero city as well .
Also the staff is very polite,smiling and helpful.
Foods of different ethnicity are available especially the variety and taste of Indian food is great. The rooms are quite comfortable beds to sleep in . Transfer to airport is also offered on payment mostly unless may be part of booking package.
I plan a return to delhi in 2 days and will stay again with them.",2023,8,mentioned previous review reason keep returning property best value money compared hotel aero citya cluster hotel including international chain hotel located min new delhi domestic international terminal novotel opinion offer everything hotel best best price stay hotel aero city well also staff politesmiling helpful food different ethnicity available especially variety taste indian food great room quite comfortable bed sleep transfer airport also offered payment mostly unless may part booking package plan return delhi day stay,"As mentioned in my previous review and the reasons I keep on returning to this property is best value for money compared to any other hotel in aero city , a cluster of hotels including international chain of hotels located 10 - 15 mins from New Delhi domestic and international terminal . Novotel in my opinion offers everything that other hotels do , but at best best price as I have had stays in other hotels of aero city as well . 
 Also the staff is very polite , smiling and helpful . 
 Foods of different ethnicity are available especially the variety and taste of Indian food is great . The rooms are quite comfortable beds to sleep in . Transfer to airport is also offered on payment mostly unless may be part of booking package . 
 I plan a return to delhi in 2 days and will stay again with them .",153,1 star,0.29601818323135376
68,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-08-01,Efficient and comfortable hotel close to Delhi airport,9.0,"Airport pickup service was flawless, and checkin quick and efficient.  The room was a decent size, and comfortable.",2023,8,airport pickup service flawless checkin quick efficient room decent size comfortable,"Airport pickup service was flawless , and checkin quick and efficient . The room was a decent size , and comfortable .",22,4 stars,0.48510465025901794
69,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",2023-08-01,Good,7.0, · The wifi went out for a few hours in the evening. Not acceptable for a hotel of this caliber.,2023,8,wifi went hour evening acceptable hotel caliber,  ·   The wifi went out for a few hours in the evening . Not acceptable for a hotel of this caliber .,22,4 stars,0.4064544141292572
70,FabHotel Majestic JPM I,"South Delhi, New Delhi",2023-06-01,Exceptional,10.0,· it was clean room and staff was good,2023,6,clean room staff good,· it was clean room and staff was good,9,4 stars,0.5491154789924622
71,FabHotel Majestic JPM I,"South Delhi, New Delhi",2023-08-01,Superb,9.0,View and cleanliness and good location,2023,8,view cleanliness good location,View and cleanliness and good location,6,4 stars,0.5324666500091553
72,FabHotel Majestic JPM I,"South Delhi, New Delhi",2023-08-01,Superb,9.0,the properly was clean and comfortable at good location,2023,8,properly clean comfortable good location,the properly was clean and comfortable at good location,9,4 stars,0.501951277256012
73,FabHotel Majestic JPM I,"South Delhi, New Delhi",2023-08-01,Superb,9.0,The staff was very friendly,2023,8,staff friendly,The staff was very friendly,5,4 stars,0.4938504993915558
74,FabHotel Majestic JPM I,"South Delhi, New Delhi",2023-07-01,Superb,9.0,The property is perfectly located at a secluded place,2023,7,property perfectly located secluded place,The property is perfectly located at a secluded place,9,5 stars,0.7668514251708984
75,FabHotel Majestic JPM I,"South Delhi, New Delhi",2023-06-01,Superb,9.0,breakfast was good and tasty very good,2023,6,breakfast good tasty good,breakfast was good and tasty very good,7,4 stars,0.5308815836906433
